n,rec_user,rec_sys,rec_clock,ite_user,ite_sys,ite_clock
1, 1.6e-06, 0, 6.25e-08, 0, 0, 4.6e-08
2, 1e-07, 0, 6.5e-08, 0, 0, 4.1e-08
3, 0, 0, 5.35e-08, 0, 0, 4.66e-08
4, 1e-07, 0, 6.43e-08, 1e-07, 0, 3.95e-08
5, 1e-07, 0, 6.21e-08, 0, 0, 4.13e-08
6, 1e-07, 0, 6.16e-08, 1e-07, 0, 4.44e-08
7, 1e-07, 0, 6.46e-08, 1e-07, 0, 4.51e-08
8, 1e-07, 0, 6.61e-08, 1e-07, 0, 4.33e-08
9, 1e-07, 0, 5.39e-08, 1e-07, 0, 3.46e-08
10, 1e-07, 0, 6.42e-08, 0, 0, 3.39e-08
11, 1e-07, 0, 6.4e-08, 1e-07, 0, 4.57e-08
12, 0, 0, 6.43e-08, 0, 0, 4.37e-08
13, 0, 0, 7.07e-08, 1e-07, 0, 4.75e-08
14, 1e-07, 0, 6.75e-08, 0, 0, 4.31e-08
15, 1e-07, 0, 7.13e-08, 0, 0, 3.89e-08
16, 1e-07, 0, 7.26e-08, 0, 0, 4.02e-08
17, 1e-07, 0, 7.39e-08, 1e-07, 0, 4.52e-08
18, 1e-07, 0, 8.01e-08, 0, 0, 3.92e-08
19, 1e-07, 0, 8.07e-08, 0, 0, 4.45e-08
20, 0, 0, 7.91e-08, 0, 0, 3.67e-08
21, 1e-07, 0, 8.33e-08, 1e-07, 0, 4.42e-08
22, 1e-07, 0, 8.95e-08, 0, 0, 4.35e-08
23, 1e-07, 0, 8.27e-08, 0, 0, 4.57e-08
24, 1e-07, 0, 8.69e-08, 1e-07, 0, 3.84e-08
25, 1e-07, 0, 9.01e-08, 1e-07, 0, 4.69e-08
26, 1e-07, 0, 9.34e-08, 0, 0, 5.03e-08
27, 1e-07, 0, 9.62e-08, 1e-07, 0, 4.19e-08
28, 1e-07, 0, 9.69e-08, 1e-07, 0, 4.79e-08
29, 1e-07, 0, 9.99e-08, 1e-07, 0, 4.5e-08
30, 1e-07, 0, 1.007e-07, 1e-07, 0, 5.11e-08
31, 1e-07, 0, 1.045e-07, 0, 0, 4.94e-08
32, 1e-07, 0, 1.063e-07, 0, 0, 4.16e-08
33, 1e-07, 0, 1.057e-07, 0, 0, 4.19e-08
34, 1e-07, 0, 1.08e-07, 1e-07, 0, 4.87e-08
35, 1e-07, 0, 1.124e-07, 1e-07, 0, 5.14e-08
36, 1e-07, 0, 1.162e-07, 1e-07, 0, 4.81e-08
37, 2e-07, 0, 1.171e-07, 1e-07, 0, 4.62e-08
38, 1e-07, 0, 1.185e-07, 1e-07, 0, 4.7e-08
39, 2e-07, 0, 1.205e-07, 1e-07, 0, 4.33e-08
40, 1e-07, 0, 1.22e-07, 0, 0, 4.92e-08
