n,rec_user,rec_sys,rec_clock,ite_user,ite_sys,ite_clock
1, 4.6e-06, 0, 2.698e-07, 2e-07, 0, 1.88e-07
2, 3e-07, 0, 1.849e-07, 1e-07, 0, 1.436e-07
3, 3e-07, 0, 2.285e-07, 1e-07, 0, 1.816e-07
4, 3e-07, 0, 2.469e-07, 2e-07, 0, 1.834e-07
5, 3e-07, 0, 2.688e-07, 2e-07, 0, 1.788e-07
6, 3e-07, 0, 3.145e-07, 2e-07, 0, 1.782e-07
7, 4e-07, 0, 3.973e-07, 1e-07, 0, 1.815e-07
8, 5e-07, 0, 4.718e-07, 1e-07, 0, 1.809e-07
9, 7e-07, 0, 6.226e-07, 2e-07, 0, 1.631e-07
10, 7e-07, 0, 5.991e-07, 2e-07, 0, 1.239e-07
11, 9e-07, 0, 9.01e-07, 1e-07, 0, 1.331e-07
12, 1.4e-06, 0, 1.4047e-06, 1e-07, 0, 1.094e-07
13, 2.2e-06, 0, 2.1881e-06, 1e-07, 0, 1.25e-07
14, 3.5e-06, 0, 3.4121e-06, 2e-07, 0, 1.249e-07
15, 5.4e-06, 0, 5.4119e-06, 1e-07, 0, 1.289e-07
16, 8.7e-06, 0, 8.678e-06, 1e-07, 0, 1.215e-07
17, 1.41e-05, 0, 1.40988e-05, 1e-07, 0, 1.144e-07
18, 2.15e-05, 0, 2.15156e-05, 1e-07, 0, 9.03e-08
19, 3.23e-05, 0, 3.23177e-05, 1e-07, 0, 9.64e-08
20, 5.41e-05, 0, 5.41621e-05, 1e-07, 0, 1.263e-07
21, 8.92e-05, 0, 8.9364e-05, 1e-07, 0, 1.237e-07
22, 0.00014, 0, 0.000140101, 2e-07, 0, 1.118e-07
23, 0.0001629, 0, 0.000162867, 1e-07, 0, 1.127e-07
24, 0, 0.0002714, 0.00027162, 0, 2e-07, 1.307e-07
25, 0.000205, 0.0001599, 0.000372793, 1e-07, 0, 9.16e-08
26, 0.0005114, 1.51e-05, 0.000526641, 0, 0, 7.45e-08
27, 0.0006863, 0, 0.000692856, 1e-07, 0, 5.34e-08
28, 0.0009544, 0, 0.000959272, 1e-07, 0, 4.03e-08
29, 0.0014686, 0, 0.00147769, 0, 0, 5.61e-08
30, 0.0021349, 0, 0.00215194, 1e-07, 0, 5e-08
31, 0.0033759, 0, 0.00339978, 0, 0, 4.11e-08
32, 0.0056259, 0, 0.00566916, 1e-07, 0, 3.46e-08
33, 0.0089103, 0, 0.909036, 1e-07, 0, 4.76e-08
34, 0.0144134, 0, 0.0145909, 0, 0, 4.07e-08
35, 0.0217215, 0, 0.0219142, 0, 0, 3.31e-08
36, 0.03553, 0, 0.0356823, 1e-07, 0, 3.52e-08
37, 0.954344, 0, 0.954396, 0, 0, 4.19e-08
38, 0.987396, 0, 0.987403, 1e-07, 0, 3.55e-08
39, 1.04895, 0, 1.04897, 1e-07, 0, 3.52e-08
40, 2.9352, 0, 2.93536, 1e-07, 0, 3.55e-08
41, 3.98506, 0, 3.08508, 0, 0, 4.27e-08
42, 5.99684, 0, 5.99751, 0, 0, 4.53e-08
43, 11.0822, 0.0003323, 11.9828, 0, 0, 5.71e-08
44, 19.975, 0, 19.9777, 1e-07, 0, 5.48e-08
45, 30.0096, 0, 30.0107, 1e-07, 0, 3.96e-08
