n,rec_user,rec_sys,rec_clock,ite_user,ite_sys,ite_clock
1, 1.3e-06, 0, 3.52e-08, 0, 0, 2.58e-08
2, 1e-07, 0, 2.95e-08, 0, 0, 3.25e-08
3, 1e-07, 0, 2.99e-08, 0, 0, 3.14e-08
4, 0, 0, 2.83e-08, 1e-07, 0, 3.21e-08
5, 0, 0, 3.27e-08, 0, 0, 3.07e-08
6, 0, 0, 3.12e-08, 1e-07, 0, 3.09e-08
7, 0, 0, 3.21e-08, 1e-07, 0, 3.13e-08
8, 0, 0, 3.18e-08, 0, 0, 3.12e-08
9, 1e-07, 0, 3.38e-08, 0, 0, 3.13e-08
10, 1e-07, 0, 3.41e-08, 0, 0, 3.22e-08
11, 0, 0, 4.34e-08, 0, 0, 3.26e-08
12, 0, 0, 3.83e-08, 0, 0, 3.16e-08
13, 1e-07, 0, 4e-08, 0, 0, 3.25e-08
14, 1e-07, 0, 4.73e-08, 1e-07, 0, 3.68e-08
15, 1e-07, 0, 6.97e-08, 0, 0, 4.13e-08
16, 1e-07, 0, 5.01e-08, 0, 0, 3.5e-08
17, 1e-07, 0, 5.32e-08, 1e-07, 0, 3.79e-08
18, 1e-07, 0, 5.27e-08, 1e-07, 0, 3.57e-08
19, 1e-07, 0, 5.82e-08, 1e-07, 0, 3.54e-08
20, 1e-07, 0, 5.92e-08, 1e-07, 0, 3.69e-08
21, 0, 0, 6.24e-08, 0, 0, 3.68e-08
22, 1e-07, 0, 5.88e-08, 1e-07, 0, 3.71e-08
23, 1e-07, 0, 6.77e-08, 0, 0, 4.18e-08
24, 1e-07, 0, 6.13e-08, 1e-07, 0, 3.65e-08
25, 1e-07, 0, 6.28e-08, 0, 0, 3.78e-08
26, 1e-07, 0, 7.6e-08, 1e-07, 0, 4.45e-08
27, 1e-07, 0, 7.23e-08, 1e-07, 0, 3.99e-08
28, 1e-07, 0, 8.5e-08, 0, 0, 4.44e-08
29, 1e-07, 0, 7.64e-08, 1e-07, 0, 4.13e-08
30, 1e-07, 0, 8.23e-08, 0, 0, 4.37e-08
31, 1e-07, 0, 8.75e-08, 1e-07, 0, 5.12e-08
32, 1e-07, 0, 8.14e-08, 1e-07, 0, 4.02e-08
33, 1e-07, 0, 9.56e-08, 0, 0, 4.88e-08
34, 1e-07, 0, 9.29e-08, 1e-07, 0, 4.68e-08
35, 1e-07, 0, 9.89e-08, 1e-07, 0, 4.99e-08
36, 1e-07, 0, 9.16e-08, 1e-07, 0, 4.9e-08
37, 1e-07, 0, 9.27e-08, 0, 0, 5.41e-08
38, 1e-07, 0, 1.028e-07, 1e-07, 0, 5.14e-08
39, 1e-07, 0, 1.058e-07, 1e-07, 0, 4.99e-08
40, 0, 1e-07, 1.014e-07, 0, 0, 3.99e-08
