compacted_size,original_size,func,mode,user_time,system_time,clock_time
933,2224,compress,ca,6.24e-05,0,0.00210103
59,2224,compress,sn,4.56e-05,0,6.65752e-05
250,2224,compress,sa,4.85e-05,0,0.000145873
-1,2812,construct-table,sn,2.19e-05,0,2.16917e-05
-1,2579,construct-table,sa,1.82e-05,0,0.00069033
-1,608,construct-table,ca,2.63e-05,0,0.000467235
-1,608,construct-table,ca,1.22e-05,0,1.21798e-05
933,933,decompress,ca,3.08e-05,0,2.43651e-05
933,933,decompress,ca,0.0020678,3.4e-06,0.00204222
933,933,decompress,ca,0.0017819,0,0.00174654
